epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,1246.29,0.87551,0.62037,1.05193,1,0.99433,0.995,0.79406,0.7556,0.40233,1.03285,0.0083269,0.0083269,0.0083269
171,1253.53,0.89955,0.64843,1.06689,0.99739,1,0.995,0.78662,0.72029,0.41322,1.0392,0.008317,0.008317,0.008317
172,1260.79,0.88939,0.64725,1.06159,1,0.99499,0.995,0.81465,0.69148,0.41595,1.01005,0.0083071,0.0083071,0.0083071
173,1267.97,0.88579,0.6352,1.03916,0.99394,1,0.995,0.81312,0.73135,0.38694,1.05082,0.0082972,0.0082972,0.0082972
174,1275.21,0.90873,0.66448,1.0717,0.98729,0.90909,0.9095,0.73864,0.85177,0.56862,1.21992,0.0082873,0.0082873,0.0082873
175,1282.4,0.91655,0.64765,1.05867,0.98923,0.90909,0.96,0.77858,0.75775,0.51566,1.10374,0.0082774,0.0082774,0.0082774
176,1289.65,0.86036,0.63011,1.03916,1,0.99354,0.995,0.79944,0.73966,0.43651,1.06899,0.0082675,0.0082675,0.0082675
177,1297.08,0.89176,0.63147,1.0526,0.99411,0.90909,0.91531,0.76941,0.8011,0.6617,1.11017,0.0082576,0.0082576,0.0082576
178,1304.21,0.8454,0.6243,1.03193,0.99426,0.90909,0.91769,0.77166,0.72402,0.57923,1.06551,0.0082477,0.0082477,0.0082477
179,1311.45,0.83659,0.59833,1.0263,0.99505,0.90909,0.91256,0.73534,0.83384,0.52578,1.16359,0.0082378,0.0082378,0.0082378
180,1318.73,0.87515,0.61231,1.04396,1,0.90672,0.96687,0.72279,0.81126,0.5514,1.12115,0.0082279,0.0082279,0.0082279
181,1325.98,0.88728,0.62234,1.05176,0.99575,0.90909,0.9275,0.80098,0.73051,0.48716,1.10964,0.008218,0.008218,0.008218
182,1333.23,0.8848,0.64254,1.05088,0.99342,0.90909,0.95711,0.75102,0.73409,0.51566,1.10339,0.0082081,0.0082081,0.0082081
183,1340.43,0.85976,0.61688,1.0369,1,0.99709,0.995,0.75136,0.83009,0.47974,1.12793,0.0081982,0.0081982,0.0081982
184,1347.61,0.90651,0.6264,1.05697,0.98649,0.90909,0.91187,0.71483,1.03086,0.61088,1.30754,0.0081883,0.0081883,0.0081883
185,1354.77,0.88519,0.63678,1.04948,0.97778,0.90909,0.98115,0.80286,0.70788,0.43615,0.99425,0.0081784,0.0081784,0.0081784
